pair	before	after	top1_before	top1_after	top1_delta	name	module	parent_module	stage	kind	quantizer	numel	changed	changed_fraction	mean_abs_bin_delta	max_abs_bin_delta	before_near_fraction	after_near_fraction	changed_and_near_fraction	changed_given_near	mean_before_boundary_dist	mean_after_boundary_dist	scale_ratio_after_over_before
ckpt10->phase2s	ckpt10	phase2s	79.922	80.166	0.24399999999999977	features.7.1.attn.proj.weight	features.7.1.attn.proj	features.7.1.attn	features.7.1	attn_proj	lsq_weight	589824	33547	0.0568762868642807	0.0568762868642807	1	0.2988908588886261	0.3014797568321228	0.0568762868642807	0.174401497231681	0.2084757536649704	0.2078658789396286	1.0
ckpt10->phase2s	ckpt10	phase2s	79.922	80.166	0.24399999999999977	features.7.1.mlp.fc2.weight	features.7.1.mlp.fc2	features.7.1.mlp	features.7.1	mlp_fc2	lsq_weight	2359296	131755	0.055845048278570175	0.055845048278570175	1	0.2963612973690033	0.301622599363327	0.055845048278570175	0.17316634641417977	0.2093985229730606	0.20824314653873444	1.0
ckpt10->phase2s	ckpt10	phase2s	79.922	80.166	0.24399999999999977	features.7.1.mlp.fc1.weight	features.7.1.mlp.fc1	features.7.1.mlp	features.7.1	mlp_fc1	lsq_weight	2359296	103736	0.0439690500497818	0.0439690500497818	1	0.23713557422161102	0.24885007739067078	0.0439690500497818	0.16571590144843262	0.22622257471084595	0.22296959161758423	1.0
ckpt10->phase2s	ckpt10	phase2s	79.922	80.166	0.24399999999999977	features.5.5.mlp.fc1.weight	features.5.5.mlp.fc1	features.5.5.mlp	features.5.5	mlp_fc1	lsq_weight	589824	24038	0.0407545305788517	0.0407545305788517	1	0.2333967387676239	0.2436014860868454	0.0407545305788517	0.15690702941925208	0.22760377824306488	0.22478196024894714	1.0
ckpt10->phase2s	ckpt10	phase2s	79.922	80.166	0.24399999999999977	features.5.5.attn.proj.weight	features.5.5.attn.proj	features.5.5.attn	features.5.5	attn_proj	lsq_weight	147456	5340	0.0362141914665699	0.0362141914665699	1	0.2432047575712204	0.2460734099149704	0.0362141914665699	0.13707069151393808	0.22492803633213043	0.2239828109741211	1.0
ckpt10->phase2s	ckpt10	phase2s	79.922	80.166	0.24399999999999977	features.7.1.attn.qkv.weight	features.7.1.attn.qkv	features.7.1.attn	features.7.1	attn_qkv	lsq_weight	1769472	57494	0.03249217942357063	0.03249217942357063	1	0.21240799129009247	0.21435829997062683	0.03249217942357063	0.1373607733143477	0.23371350765228271	0.2328822761774063	1.0
ckpt10->phase2s	ckpt10	phase2s	79.922	80.166	0.24399999999999977	features.5.5.attn.qkv.weight	features.5.5.attn.qkv	features.5.5.attn	features.5.5	attn_qkv	lsq_weight	442368	13745	0.031071415171027184	0.031071415171027184	1	0.2130059152841568	0.215576171875	0.031071415171027184	0.13199085810862718	0.23389266431331635	0.23282276093959808	1.0
ckpt10->phase2s	ckpt10	phase2s	79.922	80.166	0.24399999999999977	features.5.5.mlp.fc2.weight	features.5.5.mlp.fc2	features.5.5.mlp	features.5.5	mlp_fc2	lsq_weight	589824	11164	0.01892768032848835	0.01892768032848835	1	0.1966925710439682	0.199188232421875	0.01892768032848835	0.08987931825683716	0.23935583233833313	0.23861077427864075	1.0
ckpt10->phase2w	ckpt10	phase2w	79.922	79.926	0.0040000000000048885	features.7.1.attn.proj.weight	features.7.1.attn.proj	features.7.1.attn	features.7.1	attn_proj	lsq_weight	589824	33351	0.0565439872443676	0.0565439872443676	1	0.2988908588886261	0.3015950620174408	0.0565439872443676	0.17341139645284234	0.2084757536649704	0.20786450803279877	1.0
ckpt10->phase2w	ckpt10	phase2w	79.922	79.926	0.0040000000000048885	features.7.1.mlp.fc2.weight	features.7.1.mlp.fc2	features.7.1.mlp	features.7.1	mlp_fc2	lsq_weight	2359296	131601	0.055779773741960526	0.055779773741960526	1	0.2963612973690033	0.3015505373477936	0.055779773741960526	0.17299713952192156	0.2093985229730606	0.2082398235797882	1.0
ckpt10->phase2w	ckpt10	phase2w	79.922	79.926	0.0040000000000048885	features.7.1.mlp.fc1.weight	features.7.1.mlp.fc1	features.7.1.mlp	features.7.1	mlp_fc1	lsq_weight	2359296	103644	0.0439300537109375	0.0439300537109375	1	0.23713557422161102	0.2488437294960022	0.043929629027843475	0.16559326014676723	0.22622257471084595	0.22297453880310059	1.0
